customer_id,age,gender,state,city,zone,education_level,occupation,primary_language,income_level,provider,plan_type,tenure_months,registration_date,monthly_charges,total_charges,data_usage_gb,voice_usage_minutes,sms_usage,network_type,call_drop_rate,network_downtime_hours,internet_speed_mbps,customer_service_calls,complaint_resolution_time,satisfaction_score,payment_method,late_payments,has_caller_tune,has_data_rollover,has_international_roaming,uses_mobile_money,uses_ussd_banking,subscribes_to_news,uses_social_bundles,family_plan,referrals_made,competitor_offers_received,device_age_years,smartphone_user,churn
NIG000001,34,Female,Yobe,Yobe City,North East,OND/NCE,Trader,English,Low,MTN,Postpaid,22,2023-10-01,6257.37,111512.13,3.23,54.22,52,3G,0.11,1.22,32.19,1,21.54,1.4,Mobile Money,0,0,1,1,1,1,0,1,0,0,0,4.8,1,0
NIG000002,32,Female,Sokoto,Sokoto City,North West,Primary,Sales Rep,Igbo,Low,9mobile,Postpaid,21,2023-10-31,4972.74,90101.14,1.03,203.33,41,3G,0.296,2.96,7.69,0,40.56,7.4,Mobile Money,1,0,0,1,1,1,0,1,0,3,6,0.1,0,1
NIG000003,45,Male,Osun,Osun City,South West,Masters,Trader,Hausa,High,Glo,Prepaid,1,2025-06-22,2287.26,2876.96,3.3,891.65,43,4G,0.242,4.53,21.28,0,6.21,4.8,Airtime Transfer,1,0,0,0,0,1,1,1,0,1,3,0.7,0,1
NIG000004,39,Male,Kaduna,Kaduna,North West,OND/NCE,Banker,Hausa,Low,Airtel,Prepaid,21,2023-10-31,3178.51,56422.47,2.78,658.32,57,3G,0.152,2.38,16.39,1,29.8,8.3,Card,0,1,0,0,1,1,1,1,0,1,7,0.7,1,0
NIG000005,58,Male,Nasarawa,Nasarawa City,North Central,HND/BSc,Accountant,Igbo,Middle,Glo,Prepaid,11,2024-08-26,2021.93,22049.22,1.85,531.75,47,4G,0.092,1.56,12.19,2,92.6,5.4,POS,1,1,0,1,0,1,0,1,0,2,6,0.7,0,0
NIG000006,38,Male,Imo,Imo City,South East,HND/BSc,IT Professional,English,Low,MTN,Prepaid,10,2024-09-25,2217.14,19810.81,1.98,682.08,46,3G,0.183,0.17,8.92,1,1.77,4.6,Bank Transfer,1,0,0,0,0,0,1,1,1,0,3,0.6,1,1
NIG000007,57,Male,Borno,Borno City,North East,OND/NCE,Trader,English,Low,9mobile,Prepaid,1,2025-06-22,1538.13,1763.35,0.57,1352.27,62,3G,0.028,0.4,9.36,3,31.43,1.4,USSD,0,0,0,0,0,1,1,0,0,2,1,6,0,0
NIG000008,31,Male,Edo,Edo City,South South,Secondary,Teacher,Yoruba,Low,Airtel,Postpaid,69,2019-11-21,9032.2,735757.05,9.51,261.81,57,4G,0.195,0.46,19.45,1,0.95,6.6,Card,1,1,0,0,1,1,0,1,0,2,3,0.6,1,0
NIG000009,41,Male,Taraba,Taraba City,North East,OND/NCE,Trader,Hausa,Low,Airtel,Prepaid,11,2024-08-26,2615.52,21062.8,3.93,409.97,54,4G,0.025,0.19,32.87,1,70.14,8,Bank Transfer,3,1,0,0,1,1,1,1,1,1,3,1.7,1,0
NIG000010,30,Female,Cross River,Cross River City,South South,Secondary,Artisan,Hausa,High,MTN,Prepaid,6,2025-01-23,2413.5,12340.84,0.69,1239.49,57,4G,0.071,1.02,23.53,0,18.04,4.9,Airtime Transfer,2,0,1,1,0,1,0,0,0,0,5,1,0,1
